,I1,I2,I3,P(IPO),P(1Day),C1,C2,C3,C4,C6,C7,T5,S3,Y1,Y2,C3p,C5p,C6p,Pmid,LongSentences,RealWords,LongWords,PositiveWords,NegativeWords,UncertainWords
0,AATI,ADVANCED ANALOGIC TECHNOLOGIES INC,3674,10.0,11.869999885559098,122.0,1.0,3.43,0.02907427348367355,10600000.0,51.345,690.0,139.0,0,1,1,3.8643445283018867,11.11111111111111,9.0,0.6404255319148936,0.9088764840003145,0.054249547920433995,0.004874597059517258,0.009198836386508374,0.01092853211730482
1,ABPI,ACCENTIA BIOPHARMACEUTICALS INC,2834,8.0,7.25,259.0,0.0,-1.62,-0.013351642245815757,2400000.0,25.936,1120.0,237.0,1,0,0,12.028831666666667,0.0,9.0,0.6447534766118836,0.898724302496329,0.0513950073421439,0.0032580763582966228,0.011104992657856094,0.010875550660792951
2,ACAD,ACADIA PHARMACEUTICALS INC,2834,7.0,6.699999809265139,90.0,1.0,-1.24,0.02071500183158597,5000000.0,7.377999999999999,325.0,60.0,1,0,0,3.3691336,0.0,13.0,0.6368159203980099,0.9093500570125428,0.06176358798935766,0.011592550361079437,0.006271379703534778,0.011402508551881414
3,ACHN,ACHILLION PHARMACEUTICALS INC,2834,11.5,12.390000343322802,209.0,1.0,-0.91,0.020023137256796598,4500000.0,8.526,509.0,110.0,1,1,0,3.299697111111111,0.0,15.0,0.5396341463414634,0.9170601767768495,0.06162973725632643,0.00968640271219276,0.00714372200024216,0.013318803729265045
4,ACLI,AMERICAN COMMERCIAL LINES INC. ,4492,21.0,56.5999984741211,80.0,1.0,0.07,-0.034894701316965815,8250000.0,632.298,720.0,167.0,0,1,1,3.7262686060606063,5.0,20.0,0.5874125874125874,0.8884693189480782,0.048550236008091704,0.004517869184086311,0.0100472016183412,0.011260957518543493
5,ACOM,Ancestry.com Inc. ,7379,13.5,14.1999998092651,94.0,1.0,0.06,-0.05755607666070545,7407407.0,197.59099999999998,815.0,181.0,0,1,1,5.724393974841669,0.0,13.5,0.6431372549019608,0.7741541196733152,0.04528029334963053,0.003444635813100728,0.00533362964609145,0.010056114228568254
6,ACOR,ACORDA THERAPEUTICS INC,2836,6.0,6.71999979019165,128.0,1.0,-1.87,0.004105524336536758,5500000.0,5.146,698.0,135.0,1,1,0,3.463094909090909,0.0,12.0,0.7656565656565657,0.8854550069805813,0.04429496128950374,0.005203706054067775,0.006726741972331514,0.008567077040233533
7,ACRX,ACELRX PHARMACEUTICALS INC,2834,5.0,4.550000190734861,91.0,0.0,-0.74,0.040619988496656566,8000000.0,500.4599622950817,-1.0,122.0,1,0,0,2.42146875,0.0,13.0,0.8263473053892215,0.8957776590058792,-8.907892392659897e-05,0.004899340815962943,0.010689470871191877,0.010867628719045074
8,ACTV,ACTIVE NETWORK INC,7372,15.0,15.8999996185303,100.0,1.0,-0.51,-0.029315926285396837,11000000.0,279.6,917.0,234.0,1,1,0,4.816591,0.0,17.0,0.5403225806451613,0.9088638358198879,0.06190508337271316,0.003915479646256667,0.0083710254506177,0.01579693512455276
9,ACW,ACCURIDE CORP,3714,9.0,0.0,106.0,1.0,1.49,-0.02492507736968316,11000000.0,494.00800000000004,459.0,147.0,1,0,1,3.0566081818181816,0.0,18.0,0.5142857142857142,0.8875629516093716,0.050251806437486314,0.00886796584190935,0.009853295379899277,0.01609371578716882
10,ADKU,"ADCARE HEALTH SYSTEMS, INC",,13.837666174298375,25.934766149358612,149.72878787878787,0.8590909090909091,1.7889040247678043,0.007282201411438542,12415194.22928994,500.4599622950817,263.0,74.0,1,1,1,3.975593005885456,0.0,14.49811755952381,0.5090361445783133,0.8955402176798514,0.03490841518449695,0.006769312450225644,0.008627555083620918,0.009822139633660737
11,ADLS,"Advanced Life Sciences Holdings, Inc.",2854,5.0,6.0,99.0,1.0,-398.1,0.015487112031121256,7000000.0,0.32,385.0,70.0,1,1,0,2.5466858571428572,0.0,8.5,0.5454545454545454,0.8984105044920525,0.06651693158258466,0.005010366275051832,0.007083621285418107,0.012093987560469938
12,ADZA,ADEZA BIOMEDICAL CORP,2835,16.0,19.7000007629395,126.0,1.0,0.27,0.019731083271667373,3750000.0,26.499000000000002,259.0,80.0,0,1,1,4.237290933333333,6.666666666666667,15.0,0.6844660194174758,0.8658408932309839,0.04518492672714585,0.00366364270760642,0.007501744591765527,0.013956734124214934
13,AFFY,AFFYMAX INC,2834,25.0,33.8800010681152,140.0,1.0,-2.19,-0.006315604699400098,3700000.0,0.07400000000000001,726.0,138.0,0,1,0,3.867637297297297,8.695652173913043,23.0,0.5552884615384616,0.9311683393296724,0.06873698163226662,0.0076690020829388375,0.01117212649119485,0.013065707252414316
14,AGAM,"AGA Medical Holdings, Inc. ",3845,14.5,14.6000003814697,488.0,1.0,0.18,0.023274685510332932,13750000.0,166.896,909.0,172.0,1,1,1,3.6382196363636363,0.0,15.5,0.6089743589743589,0.8839693017764182,0.048784414748027694,0.005259485858423228,0.013739065099554554,0.009230934363763215
