,I1,I2,I3,pIPO,pH,pL,p1day,Pmid,Y1,Y2,C6p,C1,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3,C5p,LongSentences,RealWords,LongWords,PositiveWords,NegativeWords,UncertainWords,C2,C3p,Industry_Bins
0,AATI,ADVANCED ANALOGIC TECHNOLOGIES INC,3674,10.0,9.5,8.5,11.869999885559098,9.0,0,1,11.111111111111107,0.458312020460358,1.0,0.6304181623079402,0.6378747760008504,0.6797524117855496,0.2782846612357008,0.4707520891364903,0.5207213168996608,0.522444552408284,0.5311387900355872,0.7307904492446368,0.6583023582222144,0.6567729824048019,0.6637362495501218,0.5702840445048292,0.4417856649169672,0.4277036548068896,0.4283344632087988,0.4281612478782396,0.3979924101468128,0.3790654291383635,1.0,0,1
1,ABPI,ACCENTIA BIOPHARMACEUTICALS INC,2834,8.0,10.0,8.0,7.25,9.0,1,0,0.0,0.9999999999999998,0.1922268907563025,0.38473543487358974,0.5242708076352868,0.2932438183010217,0.197644361358968,0.9178272980501392,0.8959798163619821,0.8851277300100556,0.9030249110320284,0.9308005805756262,0.7037548232493868,0.9935869964481416,0.9069796501410494,0.6989422100442455,0.4447955433659397,0.4269036793615845,0.4244993962119072,0.4009710313670469,0.41419489312671015,0.37848644659142494,0.0,1,1
2,ACAD,ACADIA PHARMACEUTICALS INC,2834,7.0,14.0,12.0,6.699999809265139,13.0,1,0,0.0,0.3273657289002557,0.2720588235294117,0.5820107532152469,0.3789359068082645,0.453027691838597,0.10503493169403773,0.09610027855153204,0.2123004384150881,0.21625408159806567,0.22330960854092524,0.50195252038562,0.6530568375096127,0.24043688233249466,0.36407912084850014,0.5555962405804481,0.4392753528232412,0.4277407894728254,0.4376812884913709,0.4937706949759799,0.3639244612762361,0.3840580103672999,1.0,1,1
3,ACHN,ACHILLION PHARMACEUTICALS INC,2834,11.5,16.0,14.0,12.390000343322802,15.0,1,1,0.0,0.8143222506393861,0.34138655462184875,0.5780042592403551,0.3489838639679252,0.4269694443167295,0.11298820761324338,0.27298050139275765,0.3362561005873108,0.3423006089913792,0.31049822064056937,0.6278254653912347,0.7464447117185723,0.4164488962133405,0.5722633835193014,0.5533736617492314,0.3716900790166813,0.4283431137681455,0.4375232870717313,0.4793312235148054,0.3757644293556827,0.4014951777646295,1.0,1,1
4,ACLI,AMERICAN COMMERCIAL LINES INC. ,4492,21.0,21.0,19.0,56.5999984741211,20.0,0,1,5.0,0.2864450127877238,0.5472689075630252,0.2599824998131782,0.5434180793193121,0.595219942814135,0.9772121637402692,0.6128133704735376,0.6080320952932419,0.5954783237484039,0.5934163701067615,0.7464856638241916,0.6839267533554219,0.7573981970568369,0.7414226880391382,0.5663772595366241,0.4049176986314825,0.4260879210629936,0.4204969178614595,0.4228762753618635,0.4056051296463107,0.3826008703856104,1.0,0,3
5,ACOM,Ancestry.com Inc. ,7379,13.5,14.5,12.5,14.1999998092651,13.5,0,1,0.0,0.3437340153452685,0.5451680672268907,0.1287535467986498,0.6500884043277237,0.5618215654852314,0.5462049296074611,0.5264623955431755,0.7391016626685417,0.6297355011468019,0.5791814946619217,0.7941433774766071,0.6583023582222144,0.581348033805152,0.7773599546061921,0.6131226072876897,0.4436715385012653,0.4164185380768812,0.41564768920168893,0.4046081022890213,0.348587637224252,0.36891182510177695,1.0,0,2
6,ACOR,ACORDA THERAPEUTICS INC,2836,6.0,13.0,11.0,6.71999979019165,12.0,1,1,0.0,0.4828644501278772,0.13970588235294112,0.48582752034735205,0.4094213135982829,0.4776664869603863,0.08752719232841669,0.5055710306406686,0.6464140954586814,0.6305941902900335,0.6699288256227758,0.7350086109681135,0.7556038851795075,0.6184130382977313,0.6518828629873086,0.5585347811278729,0.5288778567057759,0.4258466481844546,0.4141293850179028,0.4327635729941626,0.3703404346644224,0.3474567354739567,1.0,1,1
7,ACRX,ACELRX PHARMACEUTICALS INC,2834,5.0,14.0,12.0,4.5500001907348615,13.0,1,0,0.0,0.3314578005115089,0.3771008403361345,0.6972778330020426,0.4137282271479836,0.5855093412810995,0.39588246322236376,0.2813370473537605,0.4589709653403921,0.4544725275966873,0.4866548042704626,0.0,0.620653415426698,0.6668519290480854,0.6117752903214979,0.5204544960641979,0.5710853621992187,0.4266700788222805,0.0,0.4285159668037187,0.4109270571438613,0.3783994937557816,0.0,1,1
8,ACTV,ACTIVE NETWORK INC,7372,15.0,18.0,16.0,15.8999996185303,17.0,1,1,0.0,0.3682864450127877,0.4254201680672269,0.29228842985456194,0.7335653161063169,0.6931149167939233,0.6497772174446143,0.6796657381615598,0.6073289767557284,0.6084490492277447,0.5916370106761566,0.8423162511721455,0.6370611803817912,0.6800581997786358,0.9005088446746272,0.5941332159901199,0.3721688521340168,0.42770266279377256,0.4378480043803029,0.4131228693496182,0.3897883827884692,0.41957244366816576,1.0,1,2
9,ACW,ACCURIDE CORP,3714,9.0,19.0,17.0,0.0,18.0,1,0,0.0,0.3928388746803069,0.8455882352941176,0.3177152407746354,0.5716260878104409,0.6931149167939233,0.8637495537995549,0.3523676880222841,0.3724460253122674,0.3663890991672975,0.34786476868327404,0.5962559900584736,0.7510382609930698,0.5579283526516707,0.6868295951599088,0.5452195840480109,0.3540614574187884,0.4260154450220445,0.42291366379082895,0.4723994705750245,0.40392750960283297,0.4214949963409712,1.0,0,1
10,ADKU,"ADCARE HEALTH SYSTEMS, INC",0,,,,,,0,0,0.0,0.3969309462915601,0.5346638655462185,0.5148922563919143,0.5087453228047222,0.5614662129981153,0.39588246322236376,0.2785515320334262,0.3062701629580611,0.3049250341780876,0.2962633451957295,0.4517059410426433,0.598076596088944,0.44733787328351576,0.4325904563487001,0.5657163153760014,0.35041063287390123,0.4266512273622968,0.3980500964499097,0.4518508516494855,0.3924233746273322,0.365934917226792,1.0,0,3
11,ADLS,"Advanced Life Sciences Holdings, Inc.",2854,5.0,9.0,8.0,6.0,8.5,1,1,0.0,0.3641943734015345,0.0,0.551736751986992,0.39281546462591177,0.5449392831705997,0.019276178027826857,0.16852367688022285,0.23405575316403346,0.2350096602528613,0.24110320284697506,0.5461947124398112,0.4542717850430032,0.3055899442190173,0.4141738294649303,0.5258159177265966,0.3757378880996089,0.4268788328438552,0.44311570795973293,0.43008978227145217,0.3750065139378961,0.3908055785458128,1.0,1,1
