,C1,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3,C5p,C2,C3p
0,122.0,2.225,0.02907427348367355,40962052.0,10600000.0,51.345,470.0,12719.0,11560.0,301.0,690.0,62.0,117.0,139.0,3.864344528301887,1.0,0
1,254.375,-1.62,-0.013351642245815757,28869196.0,2400000.0,25.936,791.0,21792.0,19585.0,510.0,1120.0,71.0,242.0,237.0,7.882540768354138,0.0,1
2,90.0,-1.24,0.02071500183158597,16845668.0,5000000.0,7.377999999999999,201.0,5262.0,4785.0,128.0,325.0,61.0,33.0,60.0,3.3691336000000005,1.0,1
3,209.0,-0.91,0.020023137256796598,14848637.0,4500000.0,8.526,328.0,8259.0,7574.0,177.0,509.0,80.0,59.0,110.0,3.299697111111111,1.0,1
4,80.0,0.07,-0.034894701316965815,30741716.0,8250000.0,632.298,572.0,14830.0,13176.0,336.0,720.0,67.0,149.0,167.0,3.7262686060606063,1.0,0
5,94.0,0.06,-0.05755607666070545,42402916.0,7407407.0,197.59099999999998,510.0,17999.0,13934.0,328.0,815.0,62.0,96.0,181.0,5.724393974841669,1.0,0
6,128.0,-1.87,0.004105524336536758,19047022.0,5500000.0,5.146,495.0,15758.0,13953.0,379.0,698.0,82.0,106.0,135.0,3.4630949090909087,1.0,1
7,91.0,-0.74,0.040619988496656566,19371750.0,8000000.0,103.833,334.0,11226.0,10056.0,276.0,-1.0,55.0,120.0,122.0,2.42146875,0.0,1
8,100.0,-0.51,-0.029315926285396837,52982501.0,11000000.0,279.6,620.0,14813.0,13463.0,335.0,917.0,58.0,124.0,234.0,4.816591000000001,1.0,1
9,106.0,1.49,-0.02492507736968316,33622690.0,11000000.0,494.00800000000004,385.0,9134.0,8107.0,198.0,459.0,81.0,90.0,147.0,3.0566081818181816,1.0,0
10,107.0,0.01,0.00912459122415893,27400178.0,7398703.5,103.833,332.0,7534.0,6747.0,169.0,263.0,51.0,65.0,74.0,3.70337559817068,1.0,0
11,99.0,-2.535,0.015487112031121256,17826801.0,7000000.0,0.32,253.0,5788.0,5200.0,138.0,385.0,29.0,41.0,70.0,2.546685857142857,1.0,1
12,126.0,0.27,0.019731083271667373,15889841.0,3750000.0,26.499000000000002,206.0,5732.0,4963.0,141.0,259.0,21.0,43.0,80.0,4.237290933333333,1.0,0
13,140.0,-2.19,-0.006315604699400098,14310258.0,3700000.0,0.07400000000000001,416.0,10562.0,9835.0,231.0,726.0,81.0,118.0,138.0,3.867637297297297,1.0,1
14,254.375,0.18,0.023274685510332932,50025520.0,13750000.0,166.896,624.0,18633.0,16471.0,380.0,909.0,98.0,244.875,172.0,3.638219636363636,1.0,0
15,233.0,0.17,-0.07978998452796494,90015707.0,10000000.0,510.19199999999995,586.0,18142.0,15782.0,413.0,649.0,98.0,92.0,155.0,7.882540768354138,1.0,0
16,125.0,0.31,0.00025485632575635107,24333033.0,11800000.0,571.192,269.0,6456.0,5687.0,140.0,336.0,36.0,33.0,83.0,2.062121440677966,1.0,0
17,77.0,0.14,-0.006315604699400098,23087591.0,10000000.0,363.465,391.0,11322.0,9589.0,247.0,603.0,72.0,134.0,133.0,2.3087591,1.0,0
18,92.0,1.18,0.036830796877746964,63369555.0,8300000.0,170.27,528.0,13516.0,12431.0,323.0,523.0,54.0,75.0,117.0,7.634886144578314,1.0,0
19,207.0,0.63,-0.01269239188194706,19045933.0,5000000.0,132.5,512.0,11684.0,10189.0,267.0,429.0,52.0,78.0,91.0,3.8091866000000003,1.0,0
20,174.0,-1.43,0.045262646375410436,31051055.0,6550000.0,103.833,473.0,13801.0,12500.0,296.0,768.0,66.0,136.0,182.0,4.740619083969466,1.0,1
21,78.0,0.67,0.05404000937680397,45201120.0,10200000.0,662.1277499999999,591.0,14315.0,12418.0,353.0,675.0,57.0,73.0,88.0,4.431482352941177,1.0,0
22,68.0,-0.86,0.002545640136170962,11894956.0,4000000.0,64.60600000000001,279.0,6569.0,5889.0,149.0,308.0,29.0,93.0,97.0,2.973739,1.0,1
23,91.0,-2.535,0.03582773310561604,19283332.0,5000000.0,0.17600000000000002,248.0,6533.0,5977.0,150.0,384.0,58.0,39.0,100.0,3.8566663999999995,1.0,1
24,101.0,-1.39,-0.0017460164572123164,21001943.0,7000000.0,3.88,263.0,8601.0,7663.0,184.0,473.0,63.0,51.0,93.0,3.000277571428571,1.0,1
25,76.0,-2.535,-0.003957877372461608,22646381.0,5500000.0,2.23,259.0,7830.0,7033.0,156.0,453.0,36.0,85.0,119.0,4.117523818181819,1.0,1
26,254.375,0.38,-0.03711550033032608,25909462.0,6000000.0,94.73899999999999,499.0,13534.0,12580.0,337.0,777.0,91.0,88.0,237.0,4.318243666666667,1.0,0
27,40.0,-0.41,0.025763708515827013,71864857.0,22329369.875,345.32199999999995,527.0,15006.0,0.0,334.0,809.0,46.0,181.0,167.0,2.395495233333333,1.0,1
28,113.0,0.5,0.035642375510738435,40403276.0,8696820.0,428.51599999999996,641.0,18484.0,16496.0,436.0,898.0,125.0,164.0,184.0,4.645752815396892,1.0,0
29,75.0,-0.93,-0.015947285678912314,26614227.0,12000000.0,18.643,403.0,12099.0,11038.0,281.0,626.0,103.0,102.0,162.0,2.21785225,1.0,1
30,42.0,0.22,-0.03711550033032608,35665434.0,9000000.0,257.056,578.0,16953.0,15176.0,378.0,885.0,81.0,87.0,169.0,3.962826,1.0,0
31,84.0,-0.49,-0.03446512812118845,55594944.0,8793408.0,59.038999999999994,511.0,16279.0,13883.0,348.0,776.0,71.0,99.0,110.0,6.322343282604424,1.0,1
32,83.0,0.13,0.02071500183158597,11150000.0,1950000.0,38.434,329.0,7154.0,6296.0,175.0,384.0,47.0,47.0,94.0,5.717948717948718,0.0,0
