,I1,I2,I3,pIPO,pH,pL,p1day,Pmid,Y1,Y2,C1,C4,C7,C5p,C6p,T4p,T3p,T5p,S1p,S2p,S3p,C2,C3p,Industry_Bins
0,AATI,ADVANCED ANALOGIC TECHNOLOGIES INC,3674,10.0,9.5,8.5,11.869999885559098,9.0,0,1,0.013297143335514716,0.6711072162061364,-0.5614084143706015,0.054797365378233764,1.2823563329621543,0.16866361999792662,0.1743696929223701,0.3105755390225517,-0.14729074427031455,0.16504395206913766,-0.12818074245131436,1.0,0,1
1,ABPI,ACCENTIA BIOPHARMACEUTICALS INC,2834,8.0,10.0,8.0,7.25,9.0,1,0,1.259276729497056,-0.6419005520789126,-0.861441431768043,2.432763888643025,-0.7599326711060854,0.22932349679501024,0.09979146069303547,-0.016410469283378748,-1.2411948237799266,0.7810338946947533,-0.1477947764362473,0.0,1,1
2,ACAD,ACADIA PHARMACEUTICALS INC,2834,7.0,14.0,12.0,6.699999809265139,13.0,1,0,-0.4474998489127184,0.4124024027053883,-1.331893800114391,-0.23239047034322324,-0.7599326711060854,0.1180718021191594,0.1778315963547556,1.1074080299243645,2.766871011583796,-0.9747778263712276,0.04453083444291613,1.0,1,1
3,ACHN,ACHILLION PHARMACEUTICALS INC,2834,11.5,16.0,14.0,12.390000343322802,15.0,1,1,0.8882010127381732,0.3909904061537559,-1.2826546582463585,-0.2760015528341837,-0.7599326711060854,-1.2440145584787337,0.2339836713182907,1.0939392182418208,2.0915728612476867,-0.6034814746409739,0.697711871818957,1.0,1,1
4,ACLI,AMERICAN COMMERCIAL LINES INC. ,4492,21.0,21.0,19.0,56.5999984741211,20.0,0,1,-0.6197283016507229,-1.3086204902742034,0.8877468196248148,-0.02139862448865696,1.0278687768806385,-0.5743585088192428,0.023741861680480644,-0.35769766581756585,-0.3650241845256079,0.4487928014267186,-0.006539229096743756,1.0,0,3
5,ACOM,Ancestry.com Inc. ,7379,13.5,14.5,12.5,14.1999998092651,13.5,0,1,-0.38305425725382414,-2.00995035799163,0.14089903094836118,0.877692424589787,-0.7599326711060854,0.2066707559065064,-0.8776926686978318,-0.7712265239739048,-1.0986217066378916,-1.4145951745390304,-0.459614696523057,1.0,0,2
6,ACOR,ACORDA THERAPEUTICS INC,2836,6.0,13.0,11.0,6.71999979019165,12.0,1,1,0.08817626820541116,-0.10163182856983204,-1.4495227905434398,-0.1747858696630162,-0.7599326711060854,1.9238845411950896,0.0012490403421335152,-0.9007128988381589,0.04435199782015403,-0.7769482833243608,-1.072697837271788,1.0,1,1
7,ACRX,ACELRX PHARMACEUTICALS INC,2834,5.0,14.0,12.0,4.5500001907348615,13.0,1,0,-0.4311680621236825,1.0284268695781649,0.7257601116686591,-0.924057631720258,-0.7599326711060854,2.7745175905192028,0.07801389817988504,-7.096902890022447,-0.13258755543296508,0.6531503499339968,-0.15073299473739452,0.0,1,1
8,ACTV,ACTIVE NETWORK INC,7372,15.0,18.0,16.0,15.8999996185303,17.0,1,1,-0.2905450910620894,-1.13596717618502,0.3488549928067958,0.5160905372528927,-0.7599326711060854,-1.2343655580942698,0.17427721185305056,1.1216196674603691,-0.7603425471390151,-0.12918587833592446,1.4552849278801416,1.0,1,2
9,ACW,ACCURIDE CORP,3714,9.0,19.0,17.0,0.0,18.0,1,0,-0.20255139685150986,-1.0000780943215315,0.7169546810725203,-0.4362579629714783,-0.7599326711060854,-1.599294691002231,0.016985235530662657,-0.1516207952626907,1.7742489676395998,0.3853894006569974,1.5405559390967745,1.0,0,1
10,ADKU,"ADCARE HEALTH SYSTEMS, INC",0,,,,,,0,0,0.3369431230601497,-0.003319238141055525,0.7257601116686591,0.11423393526388585,-0.7599326711060854,-1.6728719370123544,0.07625645853748399,-2.272330873982364,0.8595375561592044,-0.03601006978209468,-0.5517435065847348,1.0,0,3
11,ADLS,"Advanced Life Sciences Holdings, Inc.",2854,5.0,9.0,8.0,6.0,8.5,1,1,-0.30563619582261203,0.2506083718230531,-2.1538738686810457,-0.8184722822597826,-0.7599326711060854,-1.1624366461373508,0.09747512788533756,1.5706436970282571,-0.0672167406161157,-0.6280599128257728,0.28811424803340635,1.0,1,1
12,ADZA,ADEZA BIOMEDICAL CORP,2835,16.0,16.0,14.0,19.7000007629395,15.0,0,1,0.06354777209411112,0.3819518469467299,-0.8525176309022423,0.2477380832267581,1.1156767583838203,0.7859290272588081,-0.14669050394184646,-0.7836558221860501,-0.9376746744525174,-0.4598513796876729,0.901151796419004,1.0,0,1
13,AFFY,AFFYMAX INC,2834,25.0,24.0,22.0,33.8800010681152,23.0,0,1,0.2295558257812711,-0.42414751605033146,-2.412942062436288,0.0565810315588024,1.2006025277885082,-1.0246058327034184,0.3357213522839308,1.7776034113183048,1.2720017449962544,0.8013945573486424,0.6151976950514693,1.0,1,1
14,AGAM,"AGA Medical Holdings, Inc. ",3845,14.5,16.0,15.0,14.6000003814697,15.5,1,1,2.4359442088425327,0.4916201283987229,0.044034307012036436,-0.07147645570764513,-0.7599326711060854,-0.2721516882529935,-0.009860789030606044,-0.3289825881169175,0.07602541457399545,1.5254399540993513,-0.7912442293840655,1.0,0,1
15,AH,R1 RCM INC. ,7389,12.0,16.0,14.0,13.55,15.0,1,1,1.0746020234825029,-2.873360422958278,0.7388647730739543,1.8256470172269292,-0.7599326711060854,1.0706211500327458,-0.11573252467758928,-2.133859904259664,0.15585034011577192,-1.5468734400383712,-1.0828652734280957,1.0,0,2
16,AHII,"ANIMAL HEALTH HOLDINGS, INC.",5047,11.0,12.0,10.0,12.45,11.0,0,1,0.051111139843159785,-0.22080325773776227,0.8165631625826574,-1.2604639207043418,-0.7599326711060854,-1.5129516201770157,-0.03296691435506454,0.05930726864321911,0.2517508737219026,-1.5262150432625805,0.5461036819260471,1.0,0,3
17,AIMC,Altra Industrial Motion Corp. ,3568,13.5,16.0,14.0,14.289999961853,15.0,1,1,-0.6748946705852705,-0.42414751605033146,0.5141687727395655,-1.0238745973410652,-0.7599326711060854,0.04655775125618478,-0.2919543692282229,0.1987851034258288,0.6593728276223945,0.9982946932983066,0.16709237676866126,1.0,0,1
18,AIRV,AIRVANA INC,3661,7.0,10.0,8.0,7.17000007629395,9.0,1,1,-0.4149851553413242,0.9111580270416508,0.05537569290451903,1.4807968882773894,-0.7599326711060854,-0.2333548666938127,0.2532981943424523,-1.6858813146467018,-0.7057528288699118,-1.3092918402850813,-1.033996960420947,1.0,0,1
19,ALGT,Allegiant Travel CO ,4512,18.0,17.0,15.0,25.100000381469695,16.0,0,1,0.8718748577648691,-0.6214979082202986,-0.08404638975468105,0.02469065677938461,1.3228435919205097,-1.4983992538825583,-0.09957966087244316,-1.98595078127928,-0.4073998681813705,-0.7986291052787226,-1.422011553858172,1.0,0,3
20,ALIM,ALIMERA SCIENCES INC ,2834,11.0,17.0,15.0,11.0,16.0,1,0,0.5814696039907765,1.1721089977179835,0.7257601116686591,0.4827959061693754,-0.7599326711060854,-0.03642656925694273,0.15134085237317252,0.4655774579711658,-0.2026012668079662,0.3857392376274062,0.6550199237683663,1.0,1,1
21,ALJ,"Alon USA Energy, Inc. ",2911,16.0,16.0,14.0,17.25,15.0,0,1,-0.6563098947861837,1.4437530060493555,1.6508976707391785,0.34157811909094005,1.1156767583838203,-0.4358798724231279,-0.13420854344561442,-0.5314245317452606,-0.7148889428422532,-1.5323258859373945,-2.2428998652255414,1.0,0,1
22,ALLI,ALLION HEALTHCARE INC,8099,13.0,14.0,12.0,16.5,13.0,0,1,-0.8518885963050569,-0.14990751189896726,-0.4525534262359877,-0.493818016244496,-0.7599326711060854,-1.322278672708281,0.0832358160224923,-0.5650468821698182,-0.4301381771226686,1.6346521947340202,1.1505984691266484,1.0,1,2
23,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",2834,6.0,8.0,6.0,6.01000022888184,7.0,1,1,-0.4311680621236825,0.8801149605044264,-2.2673329092139904,0.050632274772656166,-0.7599326711060854,-0.33011637920728626,0.21824468633288532,0.8010757154218229,1.778256820728902,-1.111178163001634,1.3121202346645089,1.0,1,1
24,ALTU,Altus Pharmaceuticals Inc. ,2836,15.0,16.0,14.0,16.82,15.0,0,1,-0.27557922590855605,-0.2827267651557036,-1.536905923476941,-0.4752118418460762,-0.7599326711060854,0.9983219344522494,0.042152390530661284,0.3934462778400034,1.118187498329129,-1.1296746017129522,-0.17114664289607015,1.0,1,1
25,ALXA,Alexza Pharmaceuticals Inc. ,2834,8.0,12.0,10.0,85.099983215332,11.0,1,1,-0.6936816807433251,-0.35117998564965186,-1.6967940757497677,0.18769352866455807,-0.7599326711060854,-0.3654658886135824,0.09600953575596466,0.7036153977521308,-0.3153284788014281,0.7046958648743529,1.279877089786374,1.0,1,1
26,AMBA,AMBARELLA INC ,3674,6.0,11.0,9.0,6.05999994277954,10.0,1,1,2.4359442088425327,-1.377350329246542,-0.2616466002396553,0.28736957671655433,-0.7599326711060854,0.6581699853928905,0.3238357038898701,0.6563866198803033,0.8377278085205697,-0.8733692969263573,1.9340479545816192,1.0,0,1
27,AMIS,AMIS HOLDINGS INC,3674,20.0,20.0,18.0,20.1000003814697,19.0,0,1,-1.5675651247620457,0.5686510300412853,0.4813291435796512,-0.946641829940914,1.0432179970684858,0.07546597308761037,-10.484318541785665,0.27264180581886344,-1.3942440484699323,1.063842165025579,-0.05457811904878623,1.0,1,1
28,AMRC,"Ameresco, Inc.",4931,10.0,16.0,14.0,10.1700000762939,15.0,1,1,-0.10499177446687033,0.874378467660366,0.6216797852955807,0.4404635967858299,-0.7599326711060854,0.7259577885684818,0.05333010227078548,-0.353727489060272,0.8563292373307521,0.05126317635961681,-0.4994266581983188,1.0,0,3
29,ANAC,"Anacor Pharmaceuticals, Inc.",2834,5.0,18.0,16.0,5.09000015258789,17.0,1,1,-0.7126758308478734,-0.722231169173524,-0.9946924535043936,-1.1079995649556391,-0.7599326711060854,0.9653944636211798,0.19941202360264088,0.02387881663018289,1.6305771529598354,-0.10743472596043258,0.7205848825674128,1.0,1,1
30,ANFI,Amira Nature Foods Ltd. ,2000,10.0,15.0,13.0,9.579999923706053,14.0,1,0,-1.5043705118197892,-1.377350329246542,0.29738832366663764,0.1074979903438924,-0.7599326711060854,0.35863050834460697,0.07359541821337115,0.07766710852174429,-0.20522253615738967,-1.5158749645933045,-0.4938510540376968,1.0,0,1
31,ANGI,"Angie's List, Inc. ",7379,13.0,13.0,11.0,16.2600002288818,12.0,0,1,-0.5487947469654362,-1.2953259524096814,-0.4957462473371928,1.0857555325798725,1.1867451293321176,0.7375966311859288,-0.2464774377066909,-0.4668281479044954,-0.46412137091812894,-1.0601230677975884,-1.9225282421894987,1.0,1,2
32,ANGO,ANGIODYNAMICS INC,3841,11.0,14.0,12.0,12.5,13.0,1,1,-0.5662597786440066,0.4124024027053883,-0.6928302694221778,0.875333204597797,-0.7599326711060854,-1.352206541513052,-0.03911505165943989,0.2460766180205087,0.763154109735198,-0.8441143183511864,0.639365524556937,0.0,0,1
33,AONE,"B456 SYSTEMS, INC. ",3690,13.5,9.5,8.0,20.29,8.75,0,1,2.1092323626043235,2.4049033161107745,-0.4239719329242545,-0.1621896782374169,1.90041589864882,-0.8581574109080811,0.27146690609783763,0.4963573764841453,-0.11151550625493392,0.7919705720306685,1.0713310223280996,1.0,1,1
34,AOSL,ALPHA & OMEGA SEMICONDUCTOR Ltd,3674,18.0,20.0,16.0,17.7000007629395,18.0,0,0,-1.9714784812011423,0.2801806325984716,0.1030334349294296,0.2992512592282434,-0.7599326711060854,1.0903472149463638,0.17784526923690386,0.4534152316591778,-0.3176633724761448,0.273087891138731,0.6347908885323261,1.0,1,1
35,APEI,AMERICAN PUBLIC EDUCATION INC,8221,20.0,19.0,18.0,35.9199981689453,18.5,0,1,-0.38305425725382414,-0.6119143338616224,-0.6745817605188574,-0.07213751310953809,1.177875899593123,-0.6432126573969041,0.10374413817570056,0.25711872657991164,-0.2908327325100041,-0.7425549272434558,-0.612652632211897,1.0,0,2
36,APKT,ACME PACKET INC,3576,9.5,7.5,6.5,15.9099998474121,7.0,0,1,0.14837296259503518,1.5191038615017942,-0.720190762780488,0.5699323435825382,1.7210931188997334,0.032533828504472555,0.1902736683490268,0.6233129459793788,-0.652674790793447,0.4713459560410148,0.2381826217018972,1.0,0,1
37,ARAY,ACCURAY INC CIK,3841,18.0,18.0,17.0,28.469999313354503,17.5,0,1,-0.4974194503931743,0.27374875995322184,-0.5475325385121037,-0.2992438555045879,0.8686617518567785,0.3579097343460516,0.0978643533576609,-0.5353111695572055,-0.017198634695269478,-0.803418810993904,-1.2904473780781347,1.0,1,1
38,ARBX,ARBINET Corp,7389,17.5,16.0,14.0,116.0,15.0,0,1,0.4441825602818628,0.912275031042485,0.7518179275071648,-0.03620195876349947,1.4251392801721647,-0.7113332302442679,0.01509394259523717,-0.913655119546558,-0.3617297479069208,-0.36139818599909546,1.557761247937813,1.0,0,2
39,ARCL,"Archipelago Learning, Inc.",8200,16.5,17.0,15.0,18.770000457763697,16.0,0,1,-0.6563098947861837,1.5352022631886195,-0.7718344211614754,0.13597171981670142,0.893167944365321,0.283209640958347,-0.0959392182433282,0.3083356696297127,-0.3368559847987948,-1.6282286725874775,-0.8104795936349977,1.0,0,2
40,ARCO,Arcos Dorados Holdings Inc. ,5812,17.0,15.0,13.0,21.2,14.0,0,1,-2.4119917354781384,-0.08417411395692112,2.1489073035541697,-0.5818276138095411,1.5186064373515884,1.7289475290100131,-0.05549433621573693,0.1513980986802788,-0.16753697232763187,-0.1559551372834348,-1.7001263198790637,1.0,0,3
41,AREX,Approach Resources Inc,1311,12.0,16.0,14.0,12.5900001525879,15.0,1,1,-0.025299836927522367,-0.847637507597395,-0.6054107759640884,-0.8072447484785156,-0.7599326711060854,-0.4237311331564759,-0.01645102569178749,-0.6611203252487258,-0.8465146914606237,-0.0478972430060839,0.2139895110108464,1.0,0,3
42,ARII,"American Railcar Industries, Inc. ",3743,21.0,18.0,16.0,22.9549999237061,17.0,0,1,-1.6334500953977935,0.6767530397853421,0.8603434125647476,-0.9912286933783832,1.5544018261777717,0.5364557505594049,0.2417116009314417,-0.2705991290568388,0.4374311149010444,1.6724160963192929,0.9096369269102632,1.0,0,1
43,ARP,"ARC DOCUMENT SOLUTIONS, INC.",7334,13.0,16.0,14.0,13.75,15.0,1,1,-0.11861497735115728,-0.42730664416905706,0.7257601116686591,-0.3310229495229726,-0.7599326711060854,-0.8181344888186288,0.12503120521756045,0.5284486658738864,0.6478527302900365,0.8185029518483481,0.039731582303001,1.0,0,2
44,ARST,ArcSight Inc ,7372,9.0,11.0,9.0,8.77999973297119,10.0,1,0,0.4031211103206169,-0.2536448623187679,-0.4147357218087421,0.3779358674555911,-0.7599326711060854,0.4168810571904381,-0.3671941157904665,-0.23755405755116324,-1.2665501858624442,0.09101922224990594,-0.03795337092769024,1.0,1,2
45,ARTE,ARTES MEDICAL INC,2834,6.0,14.0,12.0,7.67,13.0,1,1,0.9912575177605104,-0.37847511929740457,0.7257601116686591,-0.2140495829807977,-0.7599326711060854,0.1026314421171976,-0.00662263771927315,1.1268844742657478,-0.4014273342736104,0.19346838322464055,0.5198427586207334,1.0,1,1
46,ARUN,"ARUBA NETWORKS, INC.",3577,11.0,10.0,8.0,14.1499996185303,9.0,0,1,-0.2607363363144908,0.6474528462917345,-0.3963208937386595,1.9147027390150797,1.5324592276400608,0.8349098202493764,0.21660829951318805,-0.2434710270880672,-0.6778307618956647,-0.7880710695159685,-1.4024229966325157,1.0,1,1
47,ASPV,Aspreva Pharmaceuticals CORP,2834,11.0,15.0,13.0,14.79,14.0,1,1,-1.6001556191939592,-0.14454143425042007,0.7257601116686591,0.4088574142163557,-0.7599326711060854,-2.270906797345323,0.2941294444751181,0.6650006648671316,0.3238686312354717,0.9918784157098576,1.20998528942747,1.0,1,1
48,ATEC,"Alphatec Holdings, Inc. ",3841,9.0,12.0,11.0,8.97999954223633,11.5,1,0,-0.06471637982944344,-0.9239127541120674,-0.3862087424302279,-0.015007291547031369,-0.7599326711060854,-0.26242817407775915,0.0840554981434207,0.6309281718436901,1.3247303711580316,2.7993624496930294,1.9770441946962325,1.0,1,1
49,ATHN,ATHENAHEALTH INC,7389,18.0,16.0,14.0,35.5,15.0,0,1,-0.4474998489127184,0.8450626899483726,-0.37426085865168335,0.6054031756497715,1.4925560062449217,-0.11328620910442078,0.062263932443134086,0.2714784536548088,-1.1154054785112997,-0.910572593571766,0.09740618798335292,1.0,1,2
50,ATRC,"AtriCure, Inc.",3841,12.0,14.0,12.0,14.0799999237061,13.0,1,1,-0.18829153757450176,0.2506083718230531,-0.9839907350493979,-0.4926609452864094,-0.7599326711060854,-0.16056965816597715,0.07465786890902802,1.1150982505616072,1.282246468776603,-0.21294892393898776,3.5667580275509776,1.0,1,1
51,AUXL,AUXILIUM PHARMACEUTICALS INC ,2834,7.5,9.0,8.0,7.199999809265139,8.5,1,0,-0.398948175033771,-2.083519141942649,-1.2708606203799395,-0.0119527903736196,-0.7599326711060854,-1.5595236532419865,0.19133142274531256,0.7404141641764039,0.13409031481900466,-0.9580121527695259,1.5839198425415426,1.0,1,1
52,AVAV,AeroVironment Inc ,3721,17.0,16.0,14.0,23.9300003051758,15.0,0,1,-0.051484103107029694,-0.14338297211452616,-0.05646387406493511,-0.6883667778324589,1.3453677309475294,0.12338663886255714,-0.1782978110581501,-1.4777658048337343,0.5939061459722093,-0.993722070985906,-1.0794650290204049,1.0,0,1
53,AVEO,AVEO PHARMACEUTICALS INC,2834,9.0,15.0,13.0,8.98999977111816,14.0,1,0,-0.5143782228895204,1.3111339528260275,-0.9528756531185008,-0.2797029680445009,-0.7599326711060854,0.9318549831981824,0.12810864596934993,0.36841329098615305,0.787751684279209,-0.851158021431169,0.4735554013369928,1.0,1,1
54,AVGO,Broadcom Ltd ,3674,15.0,15.0,13.0,16.1800003051758,14.0,0,1,1.803088327679393,1.6081938613379867,1.6467085132900192,0.7788071096240798,1.1373685141370182,-1.0987281812612213,-0.016602815837114548,1.4478499587443563,0.3666482807917987,1.7620385780076502,0.992252089767543,1.0,0,1
55,AVNC,"MiddleBrook Pharmaceuticals, Inc.",2834,10.0,14.0,12.0,10.0,13.0,1,0,-0.6748946705852705,2.552685095311846,0.7257601116686591,0.015995006972236197,-0.7599326711060854,-0.7233970380022342,0.132428664290473,1.46773797554895,-0.02125206552853512,-0.49381694176841295,0.3793598828258162,1.0,1,1
56,AVR,AVENTINE RENEWABLE ENERGY HOLDINGS INC,2869,43.0,43.0,40.0,38.37,41.5,0,0,-0.4474998489127184,-0.6799884862018408,1.1736370621623249,0.06317293648931965,0.9337477911956108,0.08496438883221934,0.02873859087642955,-2.323717621253156,1.2799547577539776,-1.2597479538841772,0.14391502995516514,1.0,0,1
57,AVRX,AVALON PHARMACEUTICALS INC,2834,10.5,12.0,10.0,9.48999977111816,11.0,1,0,0.3291034122966082,-0.9929247007259899,-1.7403429157273662,-0.4364359799163309,-0.7599326711060854,-1.2285046837866689,0.17384723146894399,0.5013164206705636,2.1735268032239485,-1.1088114063982624,0.015086856890874769,0.0,1,1
58,AWAY,HOMEAWAY INC,7389,27.0,27.0,24.0,40.209999084472706,25.5,0,1,-0.1461682991428743,0.3685978657632856,0.04737501185554728,3.3764035183893784,1.0769558366912584,1.2552179183926495,-0.382351169976067,-0.8894824775253034,-0.2576919013252969,-1.1248516027497684,-0.08431903707386834,1.0,0,2
59,AWK,"American Water Works Company, Inc.",4941,21.0,26.0,24.0,20.6000003814697,25.0,1,0,1.1114059523684623,-0.0954975473112928,1.872229900558937,-0.6510681597547378,-0.7599326711060854,0.10685077668206537,0.2738876916916572,0.484741440282569,0.6447353441863176,1.5190818029445434,0.03486417905354693,1.0,1,3
60,AYR,Aircastle LTD ,7359,23.0,23.0,21.0,26.600000381469695,22.0,0,1,-0.8727410452190851,0.16461900830985712,-0.7597814996399244,0.7974206413576085,0.9996938693837716,-0.3261902516024293,0.16997238687313745,0.1628271211082355,-0.22472245000218735,-0.9938130166723838,0.5858342338435129,1.0,1,2
61,BAGL,EINSTEIN NOAH RESTAURANT GROUP INC,5812,18.0,21.0,19.0,18.23,20.0,1,1,-1.0496121459647536,-0.1653471408720339,0.559756263384402,-0.3811735464123796,-0.7599326711060854,-0.1322572140978276,0.2041984056088385,0.7243209740792768,1.262832731967445,1.2643326743680272,1.055800449747335,1.0,1,3
62,BAH,Booz Allen Hamilton Holding Corp,7373,17.0,19.0,17.0,19.25,18.0,1,1,0.3291034122966082,-0.6019934803921602,2.494624681391332,1.7339392445490376,-0.7599326711060854,1.5713822896863856,0.02042948032939421,-0.31583957777652955,0.25872609810683816,-0.3155651150043369,-1.2941774596763354,1.0,1,2
63,BALT,Baltic Trading Ltd ,4412,14.0,16.0,14.0,13.960000038147,15.0,1,0,0.3074236546213672,1.2066938011628967,0.7257601116686591,-2.1042867366797524,-0.7599326711060854,-1.0208622797459537,0.5540204150397546,-0.08315952776225713,-2.3091949914234466,-0.07859897893233261,0.8515777674006884,1.0,1,3
64,BARE,BARE ESCENTUALS INC,2844,22.0,17.0,15.0,27.149999618530305,16.0,0,1,-0.4311680621236825,1.3462811650712228,0.3026644490459942,0.7706916990006307,1.7413503125259275,0.8564028011435414,-0.06447505122715855,1.067265686520504,0.8778877046939153,1.5243550603798182,0.9736201297196856,1.0,0,1
65,BAS,BASIC ENERGY SERVICES INC,1389,20.0,12.0,11.0,21.5,11.5,0,1,3.0196852663831755,0.10448120049583516,0.4160702978585434,-0.6938561609478423,2.04083960079295,-1.3391462567426695,0.06277535192975697,0.03822797044361763,0.5098100931801322,0.4766670860606905,-0.4606521993206916,1.0,0,3
66,BBBB,BLACKBOARD INC,7372,14.0,15.0,13.0,20.0100002288818,14.0,0,1,-0.21692380613947645,-0.058587446286917325,-0.2740557514678258,0.4088588402553424,-0.7599326711060854,-0.1378469017377602,0.04597976068093381,0.21483550358495146,-1.2926675861369192,-1.3732854796102714,-1.0541345514667435,1.0,1,2
67,BBG,BILL BARRETT CORP,1311,25.0,23.0,20.0,29.0499992370605,21.5,0,1,1.1114059523684623,0.3819518469467299,-0.3767324579533717,-0.3517607646506993,1.4165867565798114,-0.6197349083036652,0.09149610002611193,-0.1899359518052018,-1.3496730181216805,0.3949332538460565,0.10538449123400516,1.0,1,3
68,BBND,"BigBand Networks, Inc. ",3663,13.0,12.0,10.0,17.0,11.0,0,1,-0.5662597786440066,-2.134479054840924,0.07623501132676817,0.7314301087499301,1.4570578472107794,0.7537559408345716,0.11414627500679962,-0.06987948937948528,-1.4277650966890063,0.2829860144251219,0.1905022856418236,1.0,0,1
69,BBRG,"Bravo Brio Restaurant Group, Inc. ",5812,14.0,16.0,14.0,15.9499998092651,15.0,1,1,-0.13233992330631822,0.8890739470747757,0.41648731529958416,-1.4045627074296585,-0.7599326711060854,-0.7941007678385357,0.06903145596651451,-0.12854788459715485,0.9680271133411698,0.09546404705768416,-0.0030185236072888103,1.0,0,3
70,BBW,BUILD A BEAR WORKSHOP INC,5945,20.0,18.0,16.0,25.0499992370605,17.0,0,1,-0.6748946705852705,0.1112172650157006,0.18672331151124974,-0.7645131505915704,1.4460546204458482,-0.382186907766791,0.07905021986332048,-1.5024077854731694,0.13410959812596235,-1.2412588290091928,-0.32780341115997425,1.0,0,3
71,BCOV,BRIGHTCOVE INC,7372,11.0,12.0,10.0,14.3000001907349,11.0,0,1,0.6096838993248774,1.3659652999413705,-0.4867122422191397,0.7064797272809682,-0.7599326711060854,0.11379108320673854,0.20644475930785133,0.611551922842487,-1.581249075742896,-0.4867438781726117,0.09500746060987683,1.0,1,2
72,BDAY,"CELEBRATE EXPRESS, INC",5961,15.5,15.0,13.0,16.7000007629395,14.0,0,1,-0.35168457977164513,0.3304176486894788,-0.7000585068470656,-1.1403327909074654,1.2700148998514882,0.41103416422608857,0.0221736708866904,-1.8901143189693608,-0.6027115736533811,-0.8147482671019903,0.728627101797653,0.0,1,3
73,BDE,"Bois d Arc Energy, Inc. ",1311,13.0,15.0,12.0,12.65,13.5,1,0,0.9284539542028238,0.7704518890592738,-0.04202803252176685,0.4875888977161061,-0.7599326711060854,0.3406253395629236,0.15498777488558654,0.1385972793298765,-0.9041731684119488,1.0548440588040462,-0.09495845785001614,0.0,0,3
74,BEAT,"CardioNet, Inc. ",8090,18.0,20.0,18.0,17.7000007629395,19.0,1,0,0.9364103307610748,-1.4152943019381714,-0.39300971083711533,0.6443705895508179,-0.7599326711060854,-1.5800662488743922,0.06449907350905867,0.05245702483436618,-1.042593469954899,0.4977179812896706,0.6515771406274675,1.0,0,2
75,BECN,BEACON ROOFING SUPPLY INC,5033,13.0,14.0,12.0,10.6599998474121,13.0,0,0,-0.038345740141968336,0.3851983051356534,0.8022744773215278,-1.3748276374112065,-0.7599326711060854,-0.9571357107309012,0.09513754087007137,-0.8161181219108,0.5127166980821185,-0.07528502541789589,-0.4778216465180172,1.0,0,3
76,BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS INC. ,8351,22.0,21.0,19.0,28.3199996948242,20.0,0,1,-0.398948175033771,0.09629058830599699,1.2767656307258048,1.053215319563937,1.2468066041715555,1.7269536880733527,-0.30612064749194073,-0.7615671038404399,-0.8911713499804258,-1.738333782439366,1.3045192513354793,1.0,0,2
77,BFRM,BIOFORM MEDICAL INC,3841,8.0,11.0,9.0,8.550000190734862,10.0,1,1,-0.6379226250170474,0.11747496445735885,-0.9170056046282792,0.3548344362314244,-0.7599326711060854,-1.4015400204872648,0.2644041256867293,-0.08730223731975333,0.6956248478815583,0.7765252358320128,0.7657689703206972,1.0,1,1
78,BHRT,"U.S. Stem Cell, Inc.",8731,5.25,16.0,14.0,5.0,15.0,1,0,1.911513359510148,-0.7278276516664297,0.7257601116686591,2.61679951736692,-0.7599326711060854,0.2616349216819895,0.17891873204295736,-0.9935281584523168,-0.5472937813689602,-0.34800137417954274,-1.1168282015463344,0.0,1,2
79,BIOD,"ALBIREO PHARMA, INC.",2834,15.0,16.0,14.0,72.0,15.0,0,1,-0.398948175033771,-0.12489586802538025,0.7257601116686591,0.0644336696179045,-0.7599326711060854,-0.2397623272416989,0.22900289031834686,1.4776361547853805,1.1736263844435977,-0.3155927835592302,1.2847488299202738,1.0,1,1
