,Y1,Y2,pIPO,pH,pL,Pmid,C6p
0,0,1,10.0,9.5,8.5,9.0,11.111111111111107
1,1,0,8.0,10.0,8.0,9.0,0.0
2,1,0,7.0,14.0,12.0,13.0,0.0
3,1,1,11.5,16.0,14.0,15.0,0.0
4,0,1,21.0,21.0,19.0,20.0,5.0
5,0,1,13.5,14.5,12.5,13.5,0.0
6,1,1,6.0,13.0,11.0,12.0,0.0
7,1,0,5.0,14.0,12.0,13.0,0.0
8,1,1,15.0,18.0,16.0,17.0,0.0
9,1,0,9.0,19.0,17.0,18.0,0.0
10,0,0,,,,,0.0
11,1,1,5.0,9.0,8.0,8.5,0.0
12,0,1,16.0,16.0,14.0,15.0,6.666666666666668
13,0,1,25.0,24.0,22.0,23.0,8.695652173913043
14,1,1,14.5,16.0,15.0,15.5,0.0
15,1,1,12.0,16.0,14.0,15.0,0.0
16,0,1,11.0,12.0,10.0,11.0,0.0
17,1,1,13.5,16.0,14.0,15.0,0.0
18,1,1,7.0,10.0,8.0,9.0,0.0
19,0,1,18.0,17.0,15.0,16.0,12.5
20,1,0,11.0,17.0,15.0,16.0,0.0
21,0,1,16.0,16.0,14.0,15.0,6.666666666666668
22,0,1,13.0,14.0,12.0,13.0,0.0
23,1,1,6.0,8.0,6.0,7.0,0.0
24,0,1,15.0,16.0,14.0,15.0,0.0
25,1,1,8.0,12.0,10.0,11.0,0.0
26,1,1,6.0,11.0,9.0,10.0,0.0
27,0,1,20.0,20.0,18.0,19.0,5.263157894736842
28,1,1,10.0,16.0,14.0,15.0,0.0
29,1,1,5.0,18.0,16.0,17.0,0.0
30,1,0,10.0,15.0,13.0,14.0,0.0
31,0,1,13.0,13.0,11.0,12.0,8.333333333333332
32,1,1,11.0,14.0,12.0,13.0,0.0
33,0,1,13.5,9.5,8.0,8.75,54.28571428571429
34,0,0,18.0,20.0,16.0,18.0,0.0
35,0,1,20.0,19.0,18.0,18.5,8.108108108108109
36,0,1,9.5,7.5,6.5,7.0,35.714285714285715
37,0,1,18.0,18.0,17.0,17.5,2.8571428571428568
38,0,1,17.5,16.0,14.0,15.0,16.666666666666664
39,0,1,16.5,17.0,15.0,16.0,3.125
40,0,1,17.0,15.0,13.0,14.0,21.428571428571427
41,1,1,12.0,16.0,14.0,15.0,0.0
42,0,1,21.0,18.0,16.0,17.0,23.529411764705877
43,1,1,13.0,16.0,14.0,15.0,0.0
44,1,0,9.0,11.0,9.0,10.0,0.0
45,1,1,6.0,14.0,12.0,13.0,0.0
46,0,1,11.0,10.0,8.0,9.0,22.222222222222214
47,1,1,11.0,15.0,13.0,14.0,0.0
48,1,0,9.0,12.0,11.0,11.5,0.0
49,0,1,18.0,16.0,14.0,15.0,20.0
50,1,1,12.0,14.0,12.0,13.0,0.0
51,1,0,7.5,9.0,8.0,8.5,0.0
52,0,1,17.0,16.0,14.0,15.0,13.333333333333336
53,1,0,9.0,15.0,13.0,14.0,0.0
54,0,1,15.0,15.0,13.0,14.0,7.142857142857142
55,1,0,10.0,14.0,12.0,13.0,0.0
56,0,0,43.0,43.0,40.0,41.5,3.6144578313253017
57,1,0,10.5,12.0,10.0,11.0,0.0
58,0,1,27.0,27.0,24.0,25.5,5.882352941176469
59,1,0,21.0,26.0,24.0,25.0,0.0
60,0,1,23.0,23.0,21.0,22.0,4.545454545454546
61,1,1,18.0,21.0,19.0,20.0,0.0
62,1,1,17.0,19.0,17.0,18.0,0.0
63,1,0,14.0,16.0,14.0,15.0,0.0
64,0,1,22.0,17.0,15.0,16.0,37.5
65,0,1,20.0,12.0,11.0,11.5,73.91304347826086
66,0,1,14.0,15.0,13.0,14.0,0.0
67,0,1,25.0,23.0,20.0,21.5,16.27906976744186
68,0,1,13.0,12.0,10.0,11.0,18.181818181818183
69,1,1,14.0,16.0,14.0,15.0,0.0
70,0,1,20.0,18.0,16.0,17.0,17.647058823529417
71,0,1,11.0,12.0,10.0,11.0,0.0
72,0,1,15.5,15.0,13.0,14.0,10.714285714285714
73,1,0,13.0,15.0,12.0,13.5,0.0
74,1,0,18.0,20.0,18.0,19.0,0.0
75,0,0,13.0,14.0,12.0,13.0,0.0
76,0,1,22.0,21.0,19.0,20.0,10.0
77,1,1,8.0,11.0,9.0,10.0,0.0
78,1,0,5.25,16.0,14.0,15.0,0.0
79,0,1,15.0,16.0,14.0,15.0,0.0
80,1,1,10.5,14.0,13.0,13.5,0.0
81,0,1,17.0,17.0,15.0,16.0,6.25
82,0,1,7.75,8.0,7.0,7.5,3.333333333333333
83,1,1,11.0,15.0,13.0,14.0,0.0
84,0,1,17.0,17.0,16.0,16.5,3.0303030303030303
85,1,1,5.0,6.0,5.0,5.5,0.0
86,0,0,,,,,0.0
87,1,1,8.0,13.0,11.0,12.0,0.0
88,0,1,19.0,18.0,16.0,17.0,11.764705882352938
89,1,0,13.0,16.0,14.0,15.0,0.0
90,1,1,10.0,18.0,16.0,17.0,0.0
