,P(IPO),P(H),P(L),P(1Day),C1,C2,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3
0,10.0,9.5,8.5,11.8699998855591,122.0,1.0,3.43,0.029074273483673547,10903620.519999987,10600000.0,51.345,470.0,12719.0,0.9029074273483674,301.0,0.815524111961898,62.0,117.0,139.0
1,8.0,10.0,8.0,7.25,259.0,0.0,-1.62,-0.013351642245815755,2664691.959999989,2400000.0,25.936,791.0,21792.0,-0.17401647802123416,510.0,-0.31861483021911075,71.0,242.0,237.0
2,7.0,14.0,12.0,6.69999980926514,90.0,1.0,-1.24,0.02071500183158597,5118456.679999994,5000000.0,7.378,201.0,5262.0,-0.1053564983515726,128.0,-0.2188208485164153,61.0,33.0,60.0
3,11.5,16.0,14.0,12.3900003433228,209.0,1.0,-0.91,0.020023137256796594,4603486.369999995,4500000.0,8.526,328.0,8259.0,-0.07297917646888305,177.0,-0.15668125882199474,80.0,59.0,110.0
4,21.0,21.0,19.0,56.5999984741211,80.0,1.0,0.07,-0.034894701316965815,8474917.15999999,8250000.0,632.298,572.0,0.05007000674977651,0.059510529868303436,336.0,720.0,67.0,149.0,167.0
5,13.5,14.5,12.5,14.1999998092651,94.0,1.0,0.06,-0.057556076660705446,7757362.089999985,7407407.0,197.591,510.0,17999.0,0.04824439233392946,328.0,0.03766434543446597,62.0,96.0,181.0
6,6.0,13.0,11.0,6.71999979019165,128.0,1.0,-1.87,0.004105524336536758,5635470.219999995,5500000.0,5.146,495.0,-0.35197452528740514,-0.18330502809711688,379.0,698.0,82.0,106.0,135.0
7,5.0,14.0,12.0,4.55000019073486,91.0,0.0,-0.74,0.040619988496656566,8113717.499999994,8000000.0,500.45996229508165,334.0,-0.7894,-0.766,276.0,-1.0,55.0,120.0,122.0
8,15.0,18.0,16.0,15.8999996185303,100.0,1.0,-0.51,-0.02931592628539684,11419825.009999983,11000000.0,279.6,620.0,14813.0,-0.07738433365685715,335.0,-0.12064590029117143,58.0,124.0,234.0
9,9.0,19.0,17.0,0.0,106.0,1.0,1.49,-0.02492507736968316,11226226.899999991,11000000.0,494.008,385.0,-0.0047357647002398,-0.0024925077369683155,198.0,459.0,81.0,90.0,147.0
10,13.837666174298375,15.481190476190477,13.515044642857143,25.93476614935861,149.72878787878787,0.8590909090909091,1.7889040247678045,0.007282201411438542,12784619.88044377,12415194.229289941,0.6972472546318097,332.0,7534.0,0.773910038322962,169.0,263.0,51.0,65.0,74.0
11,5.0,9.0,8.0,6.0,99.0,1.0,-75.62645543925478,0.015487112031121256,7108268.009999995,7000000.0,0.32,253.0,5788.0,-39.796061599171985,138.0,385.0,29.0,41.0,70.0
